run_id,timestamp,mode,seed,TOS_ENTRY_START_S,TOS_ENTRY_END_S,TOS_MIN_PROB,TOS_MIN_EDGE,TOS_MIN_LIQUIDITY,TOS_Z_THRESHOLD,TOS_MIN_VARIANCE_RATIO,MIN_EDGE_THRESHOLD,MIN_ENTRY_ASK,FV_ENTRY_MAX,FV_ENTRY_MIN,FV_STALE_MS,MIN_WINDOW_AGE_S,FILL_COOLDOWN_MS,PAPER_TRADE_SHARES,MAX_SHARES_PER_SIDE,MAX_SPEND_PER_MARKET,MAX_ENTRIES_PER_WINDOW,EARLY_HIGH_CONFIDENCE_BID,LATE_WINDOW_SECONDS,LATE_SL_FLOOR,LATE_TP_BID,EMERGENCY_SECONDS,EMERGENCY_CUT_PRICE,EMERGENCY_FV_CONFIRM,EMERGENCY_TP_BID,BTC_MOMENTUM_GATE,ORDERBOOK_IMBALANCE_GATE,SIGNAL_MIN_LIQUIDITY,filter_net_pnl,filter_roi,filter_win_rate,filter_sharpe,filter_drawdown,filter_trades,train_skipped,train_net_pnl,train_roi,train_win_rate,train_sharpe,train_drawdown,train_trades,val_net_pnl,val_roi,val_win_rate,val_sharpe,val_drawdown,val_trades,val_skipped,passed_validation,error
1d2537c0,2026-06-12T09:06:55.435028+00:00,bayesian,,160.0,240.0,0.85,0.1,40.0,0.45,1.7000000000000002,0.03,0.02,0.95,0.05,800.0,140.0,1000.0,5.0,10.0,8.0,5,0.75,180.0,0.09,0.8799999999999999,70.0,0.16,0.45,0.95,2.0,50.0,50.0,16.25,0.0992,0.875,0.2222,0.0,24,False,69.65,0.0765,0.8248,0.1498,0.0,137,18.75,0.0307,0.8132,0.0608,-5.9,91,False,False,
0035dc75,2026-06-12T09:11:52.331605+00:00,bayesian,,150.0,240.0,0.85,0.1,30.0,0.5,1.5,0.03,0.02,0.95,0.03,900.0,140.0,1000.0,5.0,10.0,8.0,5,0.75,180.0,0.09,0.8799999999999999,70.0,0.16,0.45,0.95,2.0,60.0,45.0,23.55,0.0901,0.8649,0.1913,-6.6,37,False,45.5,0.0337,0.796,0.0613,0.0,201,23.65,0.029,0.8167,0.0567,-14.35,120,False,False,
dfc8be92,2026-06-12T09:17:00.566916+00:00,bayesian,,160.0,240.0,0.85,0.1,30.0,0.45,1.6,0.03,0.03,0.95,0.06999999999999999,1000.0,160.0,4000.0,5.0,10.0,8.0,5,0.75,180.0,0.11,0.8799999999999999,70.0,0.15000000000000002,0.45,0.95,2.25,50.0,50.0,23.4,0.1364,0.8571,0.3187,0.0,28,False,70.9,0.0713,0.8194,0.1364,0.0,155,15.15,0.0241,0.8,0.0476,-2.75,95,False,False,
23a315c1,2026-06-12T09:22:11.469867+00:00,bayesian,,160.0,240.0,0.85,0.08,30.0,0.45,1.5,0.04,0.03,0.95,0.06999999999999999,1000.0,160.0,1000.0,5.0,10.0,8.0,5,0.75,180.0,0.11,0.8999999999999999,80.0,0.15000000000000002,0.45,0.95,2.75,60.0,45.0,16.45,0.0662,0.8529,0.1402,-6.6,34,False,83.25,0.0642,0.8306,0.1309,0.0,183,27.65,0.0347,0.8319,0.0709,-6.65,113,False,False,
f7cc9467,2026-06-12T09:27:21.586948+00:00,bayesian,,160.0,240.0,0.85,0.08,50.0,0.5,1.5,0.04,0.03,0.95,0.06999999999999999,1000.0,160.0,1000.0,5.0,10.0,8.0,5,0.75,180.0,0.11,0.9199999999999999,60.0,0.14,0.45,0.9,2.75,60.0,45.0,18.25,0.0755,0.8485,0.1653,-6.6,33,False,75.15,0.0585,0.8268,0.1191,0.0,179,35.5,0.0447,0.8407,0.0924,-6.85,113,False,False,
c20ee27b,2026-06-12T09:32:30.093193+00:00,bayesian,,150.0,240.0,0.85,0.07,30.0,0.45,1.5,0.04,0.03,0.95,0.03,900.0,160.0,3000.0,5.0,10.0,8.0,5,0.75,180.0,0.11,0.8999999999999999,70.0,0.15000000000000002,0.45,0.95,2.75,60.0,45.0,25.85,0.0997,0.8684,0.2469,-6.55,38,False,63.9,0.0456,0.8259,0.091,0.0,201,14.25,0.0159,0.8226,0.0334,-14.95,124,False,False,
59b5b45a,2026-06-12T09:37:44.135882+00:00,bayesian,,150.0,240.0,0.8,0.08,30.0,0.45,0.6,0.03,0.02,0.97,0.06999999999999999,1000.0,180.0,3000.0,5.0,10.0,8.0,5,0.75,180.0,0.11,0.8999999999999999,60.0,0.15000000000000002,0.15,0.9,1.25,50.0,45.0,40.4,0.039,0.8141,0.0783,-3.2,156,False,-19.15,-0.0042,0.7629,-0.0075,-68.45,679,,,,,,,True,False,
46729cd0,2026-06-12T09:41:41.743394+00:00,bayesian,,160.0,250.0,0.8,0.09000000000000001,40.0,0.5,1.6,0.04,0.04,0.95,0.06999999999999999,900.0,120.0,2000.0,5.0,10.0,8.0,5,0.75,180.0,0.13,0.86,90.0,0.13,0.4,0.95,2.5,10.0,50.0,25.1,0.1225,0.8387,0.2741,0.0,31,False,49.1,0.0427,0.7816,0.0801,0.0,174,21.0,0.0292,0.8077,0.0586,-5.55,104,False,False,
43ff932c,2026-06-12T09:47:07.352994+00:00,bayesian,,160.0,240.0,0.85,0.11,50.0,0.35,1.6,0.03,0.04,0.97,0.06999999999999999,1000.0,180.0,4000.0,5.0,10.0,8.0,5,0.75,180.0,0.13,0.8799999999999999,80.0,0.16,0.45,0.95,1.5,90.0,40.0,28.25,0.1513,0.8667,0.3467,0.0,30,False,51.55,0.0499,0.8,0.0881,0.0,170,23.15,0.0352,0.8039,0.0671,-6.4,102,False,False,
cbc4b7ab,2026-06-12T09:52:46.079546+00:00,bayesian,,160.0,240.0,0.8,0.09000000000000001,20.0,0.45,1.3,0.05,0.02,0.95,0.03,900.0,160.0,1000.0,5.0,10.0,8.0,5,0.8,140.0,0.09,0.9199999999999999,80.0,0.19,0.4,0.9,2.5,60.0,50.0,30.85,0.0982,0.8372,0.2091,0.0,43,False,7.7,0.0044,0.7559,0.0078,-12.2,254,40.95,0.0423,0.8273,0.0824,-6.85,139,False,False,
85c35d29,2026-06-12T09:59:51.610714+00:00,bayesian,,190.0,260.0,0.7,0.12000000000000001,50.0,0.3,1.9000000000000001,0.02,0.09000000000000001,0.95,0.13,500.0,20.0,14000.0,5.0,10.0,8.0,5,0.9,120.0,0.05,0.9199999999999999,90.0,0.21000000000000002,0.4,0.85,2.25,30.0,50.0,8.0,0.25,1.0,2.2646,0.0,6,False,16.95,0.0421,0.7568,0.072,0.0,74,42.55,0.1591,0.8776,0.3464,-7.85,49,False,True,
3ddc2a35,2026-06-12T10:04:43.238685+00:00,bayesian,,150.0,240.0,0.85,0.13,40.0,0.45,1.7,0.03,0.03,0.95,0.05,1000.0,20.0,16000.0,5.0,10.0,8.0,5,0.75,160.0,0.1,0.9,90.0,0.19,0.4,0.95,2.25,50.0,45.0,15.35,0.1184,0.8696,0.2419,0.0,23,False,58.65,0.0781,0.8074,0.1393,0.0,135,15.5,0.033,0.7952,0.0598,-5.05,83,False,False,
da26010e,2026-06-12T10:09:53.677777+00:00,bayesian,,150.0,250.0,0.75,0.11,50.0,0.5,2.0,0.02,0.03,0.95,0.09,900.0,0.0,16000.0,5.0,10.0,8.0,5,0.75,180.0,0.07,0.94,90.0,0.14,0.45,0.95,2.25,50.0,50.0,4.1,0.0451,0.8125,0.0834,-4.5,16,False,10.35,0.0187,0.7864,0.0303,-7.85,103,40.6,0.1146,0.8667,0.2325,-7.8,60,False,False,
